null_values_mdd,actual_value_mdd,null_values_aud,actual_value_aud,null_values_hc01,actual_value_hc01,null_values_hc02,actual_value_hc02
0.049064195,,0.069811841,,0.092728218,,0.059507061,
0.121861071,,0.201728817,,0.132623353,,0.087731883,
0.070163468,,0.088751546,,0.045047776,,0.105220057,
0.058514023,,0.09802887,,0.117482018,,0.135606346,
0.088865942,,0.117156598,,0.060736951,,0.128140983,
0.142316967,,0.179256565,,0.137240562,,0.118285622,
0.119735891,,0.162786134,,0.099202146,,0.093572574,
0.054135337,,0.102464862,,0.112996044,,0.062599942,
0.223215207,,0.318818418,,0.13980646,,0.241522394,
0.053452358,,0.086924793,,0.0640994,,0.105742675,
0.012124999,,0.05784477,,0.04481727,,0.057675558,
0.078792584,,0.109299453,,0.043827299,,0.072462857,
0.031553297,,0.044917308,,0.071681055,,0.090786304,
0.059142428,,0.101905029,,0.06360032,,0.071976688,
0.099335561,,0.124207293,,0.138547814,,0.087016587,
0.093464882,,0.181267197,,0.123574824,,0.212771134,
0.100957101,,0.077659737,,0.133841566,,0.153492187,
0.108372436,,0.163329369,,0.105935513,,0.108952975,
0.100844363,,0.205814768,,0.095249449,,0.0856763,
0.032042665,,0.067289807,,0.074315289,,0.055787675,
0.115836741,,0.130166509,,0.097546776,,0.127690886,
0.039210812,,0.043167414,,0.053297815,,0.078408041,
0.099976403,,0.122374294,,0.093572415,,0.199625904,
0.064095742,,0.137591341,,0.070920962,,0.109262749,
0.046506341,,0.119718444,,0.096151988,,0.113688015,
0.054092859,,0.088257278,,0.100996209,,0.107964274,
0.059449411,,0.073792412,,0.057250357,,0.063944999,
0.038632719,,0.093031607,,0.080651184,,0.095629357,
0.046142208,,0.100781099,,0.07449439,,0.123042672,
0.082406434,,0.122178086,,0.071901538,,0.101219622,
0.082193158,,0.183373971,,0.057609757,,0.088208958,
0.103211769,,0.117855801,,0.18023315,,0.134397436,
0.016175814,,0.072621437,,0.068370667,,0.111854101,
0.064240298,,0.097151708,,0.084369877,,0.110521239,
0.038565227,,0.083847362,,0.060427279,,0.058619298,
0.069270089,,0.083053467,,0.06623442,,0.066494736,
0.075331369,,0.095589441,,0.116262947,,0.093832215,
0.116887446,,0.121928567,,0.229159912,,0.147059516,
0.039557613,,0.077386031,,0.036416293,,0.073493024,
0.055686593,,0.063580713,,0.094316034,,0.082782469,
0.051757643,,0.082365216,,0.046509925,,0.057822775,
0.053123319,,0.092241176,,0.066741219,,0.086829269,
0.081132073,,0.141712878,,0.048434659,,0.101318458,
0.02923965,,0.091591862,,0.080680381,,0.069620489,
0.061039123,,0.120476065,,0.04805323,,0.125501703,
0.029994081,,0.072364889,,0.029186396,,0.080133552,
0.080907795,,0.111252873,,0.081924537,,0.123474598,
0.118597506,,0.210076892,,0.072620088,,0.090637686,
0.122204987,,0.122160483,,0.143587837,,0.209206849,
0.036383421,,0.095328534,,0.047252336,,0.063695695,
0.049568436,,0.106574687,,0.082153246,,0.150197507,
0.071861825,,0.103804992,,0.117962459,,0.140831641,
0.061208785,,0.112903939,,0.05999119,,0.122411211,
0.051148956,,0.08209992,,0.094251292,,0.10826234,
0.107769446,,0.201894221,,0.066805255,,0.04333799,
0.108983814,,0.107677166,,0.080046766,,0.129273675,
0.086025801,,0.190147662,,0.105085805,,0.123388157,
0.034309957,,0.068300925,,0.074152886,,0.087887489,
0.103048536,,0.122273725,,0.160857543,,0.147531174,
0.114545121,,0.197096187,,0.076001817,,0.092549762,
0.083627781,,0.152538365,,0.072741552,,0.050056245,
0.05952656,,0.100618541,,0.073726071,,0.047878505,
0.068008263,,0.098187076,,0.060024175,,0.039639783,
0.151472909,,0.153644235,,0.208075103,,0.144072897,
0.045430252,,0.099353659,,0.096094708,,0.050992092,
0.049589226,,0.108421477,,0.059841858,,0.077137034,
0.167406429,,0.138597967,,0.13371997,,0.187451932,
0.094714077,,0.111401085,,0.125559532,,0.098847503,
0.040485284,,0.091649958,,0.078830444,,0.097193252,
