all_between,all_within
0.024585377,
0.012010097,
0.031034203,
0.070505939,
0.052121464,
0.082470573,
0.097171538,
-0.095843963,
-0.088291503,
-0.129357696,
-0.092059709,
-0.11413721,
-0.061023451,
-0.103796981,
-0.091030292,
-0.110054232,
-0.078729466,
-0.107261002,
-0.104471102,
-0.026193781,
0.01324378,
0.103421211,
0.016833046,
0.004849792,
-0.033836853,
0.050036147,
0.040973105,
-0.001131645,
0.041713044,
-0.012673855,
-0.076258205,
0.037313495,
-0.001358756,
-0.053781297,
0.031740054,
0.009267688,
0.021490403,
-0.000449854,
0.040244866,
0.061736479,
0.036260765,
0.074484207,
0.089240402,
-0.088362128,
-0.071782418,
-0.105378054,
-0.079323053,
-0.104605153,
-0.04551724,
-0.084789567,
-0.075294346,
-0.090475529,
-0.058772903,
-0.085767433,
-0.082364053,
-0.017619461,
0.004918544,
0.095740668,
0.011070953,
-0.005204262,
-0.035668496,
0.045956217,
0.044411276,
-0.000601809,
0.033821937,
-0.015736481,
-0.069411553,
0.054428309,
-0.004453293,
-0.050514806,
0.024713995,
0.009931625,
0.01557692,
0.004742421,
0.034787647,
0.052693699,
0.042085379,
0.068110839,
0.078132041,
-0.043760441,
-0.05258498,
-0.060446348,
-0.015219667,
-0.055921137,
-0.017798696,
-0.013098286,
-0.043994572,
-0.072199129,
-0.031262372,
-0.071554363,
-0.029145552,
-0.058912497,
-0.109823324,
0.065844662,
-0.054796036,
-0.081464708,
-0.149405673,
-0.035435963,
-0.015243911,
-0.057741381,
-0.014392517,
-0.071115203,
-0.02774293,
-0.024201095,
-0.077036649,
-0.126230642,
-0.012879827,
-0.046224248,
0.003286908,
-0.043360032,
-0.007258217,
0.018397525,
0.028752496,
0.049100652,
0.005866633,
-0.074209005,
-0.0500733,
-0.057786498,
-0.061891623,
-0.070111468,
-0.045315687,
-0.061780382,
-0.014499844,
-0.059815209,
-0.039706498,
-0.064507231,
-0.044233456,
-0.032760706,
-0.010186911,
-0.008552595,
-0.00562267,
-0.011528993,
-0.014923506,
-0.041118972,
-0.049979929,
-0.049743161,
-0.002753093,
0.025466166,
-0.085826173,
-0.028406261,
-0.03998559,
-0.053685516,
-0.057143338,
-0.029997237,
-0.03168954,
-0.017507117,
-0.019481448,
0.018831316,
-0.004688072,
0.012149973,
-0.040378414,
-0.105350867,
